track,year,code,title,pi,department,status,project_url,interview_url
grant,2025/26,DSG/2526/106,Picturing Difference: Disability in Early Modern Art,Prof. Angelo LO CONTE,Academy of Visual Arts,Active,,
grant,2025/26,DSG/2526/110,4D Digital Archive of Hong Kong Traditional Paper Crafts,Prof. YE Hui,Department of Interactive Media,Active,,
grant,2024/25,DSG/2425/101,"An Online, Open-Access Catalogue of Seventeenth Century Harpsichord Music",Prof. CHUNG Yu Sum David,Department of Music,Active,,
grant,2024/25,DSG/2425/102,"Transnational Religious Exchange of Chinese Protestant Christians and the CCCWE, 1974–2021",Prof. KWOK Wai Luen,"Academy of Chinese, History, Religion, and Philosophy",Active,,
grant,2024/25,DSG/2425/105,Rediscovering a Chinese Intellectual Woman Gu Shuxing's Photography and Global Travels (1910s–70s),Dr WANG Yizhou,Academy of Visual Arts,Terminated,,
grant,2023/24,DSG/2324/104,The Chinese/English Translation & Interpreting Learner Corpus (CETILC),Dr Janice Jun PAN,"Department of Translation, Interpreting and Intercultural Studies",Active,,
grant,2023/24,DSG/2324/103,Finding the Heritage of the Sai Kung Catholic Villages — 360 Virtual Tours,Prof. CHU Cindy,Department of History,Completed,https://digital.lib.hkbu.edu.hk/history/catholic-churches/,
grant,2023/24,DSG/2324/105,A Digital Archive of the Theatrical Works of Danny Ning-Tsun Yung,Dr YEUNG Jessica,"Department of Translation, Interpreting and Intercultural Studies",Active,,
grant,2023/24,DSG/2324/101,A Stranger/Helper at Home: Hong Kong Families with Migrant Domestic Workers,Dr CHEUNG Adam,Department of Sociology,Completed,https://digital.lib.hkbu.edu.hk/helper-at-home/,
grant,2022/23,DSG/2223/107,Crisscross 7000 years – Art and Technology of Mortise and Tenon,"Ms. QIN Lai Yin, Anna",Academy of Visual Arts,Completed,https://digital.lib.hkbu.edu.hk/mortise_tenon/,https://hkbutube.lib.hkbu.edu.hk/inner.php?id=BTO-010183
grant,2022/23,DSG/2223/108,The Digital Legacy of Hong Kong Culture – Bridging Audio-Visual Art World and Physical Reality,Dr Yupeng Li,Department of Interactive Media,Completed,https://digital.lib.hkbu.edu.hk/culture-map/,
grant,2022/23,DSG/2223/111,Asian-European cities online energy map,"Dr Man-wai Cheung, Darren",Department of Geography,Completed,https://digital.lib.hkbu.edu.hk/energymap/,
grant,2021/22,DSG/2122/105,Synergy between Tradition and the Contemporary – Chinese Calligraphy and Seal Engraving,Dr Chak Kwong LAU,Academy of Film,Completed,https://digital.lib.hkbu.edu.hk/calligraphy/daniellauchakkwong/,https://hkbutube.lib.hkbu.edu.hk/inner.php?id=BTO-010181
grant,2021/22,DSG/2122/110,100 Chinese Protestant Christian Hymns from Qing China,Dr Man Kong WONG,Department of History,Completed,https://digital.lib.hkbu.edu.hk/qinghymns/,https://hkbutube.lib.hkbu.edu.hk/inner.php?id=BTO-010182
non-grant,2025/26,NG/2526/01,"Hong Kong-Singapore Screen Heritage: The Kong Ngee Film Company and the Cantonese Movie Industry in Post-War Asia, 1950s–1960s",Prof. CHUNG Po Yin,Department of History,Active,,
non-grant,2019/20,NG/1920/01,HKKH: Sinophone Hong Kong Literature – Translation Anthologies,Dr Maialen MARIN-LACARTA,"Department of Translation, Interpreting and Intercultural Studies",Completed,https://digital.lib.hkbu.edu.hk/hkkh/,
